"id","country","year","expectancy","drinkingwater","handwash","birthattended","gdpspent","literacy","meddoctor","nursemidwives","stuteacherratio"
215,"Eritrea",2015,"62.29","27.854000000000003",NULL,NULL,NULL,"73.317871",NULL,"12.44","43.3362"
216,"Eritrea",2019,"64.08","27.8",NULL,NULL,NULL,NULL,"0.63","14.020000000000001","38.7409"
217,"Estonia",2000,"70.94","97.29",NULL,"99.5",NULL,"99.767197","31.403999999999996","81.00200000000001",NULL
218,"Estonia",2010,"75.87","98.374",NULL,"99.34","5.527",NULL,"32.562","65.644","11.1564"
219,"Estonia",2015,"77.6","99.026",NULL,"99.4","4.9887","99.8546485","33.356","62.73199999999999","11.4995"
220,"Estonia",2019,"78.88","99.19",NULL,"99.23333333333335","5.1732",NULL,"38.00333333333334","80.39999999999999","11.3115"
221,"Eswatini",2000,"47.05","42.52",NULL,NULL,NULL,"81.660698",NULL,"33.27",NULL
222,"Eswatini",2010,"47.43","51.76800000000001","23.625999999999998","75.5","6.1184","83.09828900000001","1.64","15.38","32.79165"
223,"Eswatini",2015,"54.05","57.24000000000001","23.904","88.3","7.1277","87.470192","1.02","29.389999999999997","27.8397"
224,"Eswatini",2019,"57.73","60.42","24.075000000000003",NULL,NULL,NULL,"3.29","39.50333333333334","26.93505"
225,"Ethiopia",2000,"50.58","18.7",NULL,NULL,NULL,NULL,NULL,NULL,"67.3391"
226,"Ethiopia",2010,"62.92","20.776",NULL,NULL,"4.4966","38.995979","0.2475","2.265","55.99955"
227,"Ethiopia",2015,"66.82","26.924","7.67","12.75","4.7379","49.031521000000005",NULL,"0.73","55.0693"
228,"Ethiopia",2019,"68.7","30.59","7.915","27.7",NULL,NULL,"0.7400000000000001","5.533333333333334",NULL
229,"Fiji",2000,"65.9","90.65",NULL,"96.9",NULL,NULL,"3.36","19.55",NULL
230,"Fiji",2010,"67.6","89.82000000000001",NULL,"99.32000000000001","4.4985",NULL,"4.175000000000001","22.015","26.0328"
231,"Fiji",2015,"67.83","89.12",NULL,"99.64000000000001","4.028",NULL,"8.379999999999999","29.605","27.9973"
232,"Fiji",2019,"68.01","88.7",NULL,"99.8",NULL,NULL,NULL,"33.75",NULL
233,"Finland",2000,"77.6","100.0",NULL,"98.4",NULL,"100.0","28.064999999999998","129.95",NULL
234,"Finland",2010,"79.88","100.0",NULL,"99.8","6.5407",NULL,"30.947999999999997","137.94","14.0306"
235,"Finland",2015,"81.21","100.0",NULL,"99.775","7.0801",NULL,"32.854","118.52000000000001","13.332"
236,"Finland",2019,"81.61","100.0",NULL,"99.93333333333334","6.8974",NULL,"38.12","147.4","13.6669"
237,"France",2000,"78.91","100.0",NULL,NULL,NULL,NULL,"33.3","25.230000000000004",NULL
238,"France",2010,"81.22","100.0",NULL,"97.96000000000001",NULL,NULL,"34.028","85.52","17.7664"
239,"France",2015,"81.91","100.0",NULL,"97.52",NULL,NULL,"31.936","99.672","18.1766"
